timestamp,event_type,summary,confidence,date_precision,affected_system,affected_sites
2026-03-29,seeding,"Seeded 60 basil, 48 genovese, 6 greek, 6 thai",high,day,,
2026-04-01,emergence,Seed emergence noted,high,day,,
2026-04-04,failure,Failure or loss noted,high,day,,
2026-04-11,watering,"Watering by light soak in sink and drip dry. Greek 4/6, Thai 6/6, Genovese 45/48.",high,day,,
2026-04-21,failure,Failure or loss noted,high,day,,
2026-05,transplant,Plant transplant,high,month,,
2026-05-02,transplant,Plant transplant,high,day,,
2026-05-03,harvest,Harvested / cut back plants,high,day,,
2026-05-04,seeding,"Seeded 4 holy, 4 lemon, 4 opal",high,day,,
2026-05-05,transplant,"Transplanted 3 genovese, 3 thai",high,day,rootspa,
2026-05-06,transplant,Plant transplant,high,day,,
2026-05-10,root_observation,Root observation,high,day,,
2026-05-20,harvest,Harvested / cut back plants,high,day,,
2026-06-01,pest_issue,Pest issue observed,high,day,tray,
2026-06-05,water_change,Reservoir water change,high,day,,
2026-06-06,transplant,"Transplanted 3 holy, 1 opal",high,day,,
2026-06-07,harvest,Harvested / cut back plants,high,day,,
2026-06-09,observation,Rack census: 51/76 occupied,high,day,,
2026-06-12,harvest,Harvested / cut back plants,high,day,,
2026-06-12,transplant,"Transplanted 2 genovese to rack, 2 genovese to spa",high,day,,
2026-06-13 12:00:00,transplant,"Transplanted 6 Genovese, refilled Root Spa, and added 2 clones",high,day,,
2026-06-16 10:00:00,harvest,Harvested / cut back plants,high,,,
2026-06-17,water_change,Partial NFT reservoir refresh/top-off,high,day,,
2026-06-22 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-06-23,light_adjustment,Raised the rack lights slightly.,medium,day,,
2026-06-23,morphology_observation,Holy and opal basil looked excellent.,high,day,,
2026-06-23,post_harvest_observation,Plants weeping slowly from harvest cuts.,high,day,,
2026-06-23,transplant,Transplanted 2 rooted basil clones to C3S9 and C4S9.,high,day,,
2026-06-23,stem_thickness_observation,Stem thickness comparison noted.,medium,day,,
2026-06-23,outage,Two overnight power outages totaling about 2 hours,high,day,,
2026-06-24 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-06-24 18:23,observation,"Adjusted camera angle to ""hanging home new"" which frames all of the plants better than the previous angle.",high,,Camera/Pipeline,
2026-06-28,transplant,"Transplanted 1 holy, 2 lemon, 1 opal",high,day,,
2026-06-28,water_change,Partial NFT reservoir refresh/top-off,high,day,,
2026-06-28,transplant,"Transplanted 1 oregano, 1 sage, 2 genovese basils",high,day,,
2026-06-30 19:05:00,observation,Corrected C3S9 and C4S9 clone cultivar to Genovese basil.,high,second,,C3S9; C4S9
2026-06-30 20:00:00,harvest,2026-06-30 rack harvest: 340 g from 52 NFT rack sites.,high,second,nft,
2026-06-30 22:40,observation,"2026-06-30 | infrastructure | confidence=high Attempted post-harvest recovery snapshot after 340g rack harvest, but garage Vonets bridge/rou",high,,NFT Rack,
2026-07-01 00:00:00,water_change,NFT Rack partial reservoir refresh/top-off,high,,NFT Rack,
2026-07-01 00:00:00,harvest,Harvested / cut back plants,high,,nft,
2026-07-01 16:54,environment,"HOT in there today, 99F when i just checked. Changed the fan setting to 60/0 from 55/5 for what it's worth. Might change the water/top off t",high,,NFT Rack,
2026-07-11 00:00:00,harvest,Harvested / cut back plants,high,,NFT Rack,
2026-07-20,water_change,Partial NFT reservoir refresh/top-off,high,day,,
2026-07-22 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-07-22 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-07-24 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-07-24 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-07-24 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-08-04 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-08-06,water_change,Reservoir water change,high,day,,
2026-08-08 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-08-14 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-08-23 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-08-26 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-08-26 00:00:00,harvest,Harvested / cut back plants,high,day,NFT Rack,
2026-08-26,water_change,Reservoir water change,high,day,,
2026-09-07 00:00:00,harvest,Harvested / cut back plants,medium,day,NFT Rack,
2026-09-10 00:00:00,harvest,Harvested / cut back plants,medium,day,NFT Rack,
2026-09-10 00:00:00,harvest,Harvested / cut back plants,medium,day,NFT Rack,
2026-09-10 00:00:00,harvest,Harvested / cut back plants,medium,day,NFT Rack,
2026-09-17,observation,2026-09-17 observation: experiment ended; teardown not yet complete; final operating state preserved. No more harvests to be recorded.,high,day,,
